PPO_step,PPO_cost,PPO_len,PPO_Lag_step,PPO_Lag_cost,PPO_Lag_len
116,4.375238419,26,206,1.969248533,15
117,5.322879314,34,208,3.569271803,36
122,8.556827545,53,212,3.295617104,22
126,2.899730921,15,214,3.7847054,31
127,3.920512676,28,216,3.36660099,24
129,4.96252203,31,220,4.65834713,31
130,5.509900093,39,221,2.733383417,20
131,5.513307571,27,222,2.437764883,19
132,4.013844967,24,225,8.9712677,69
133,4.740824223,30,230,2.110893488,16
135,6.949225426,43,240,3.766937733,28
137,4.752079964,45,242,9.67440033,89
138,23.95580864,72,245,3.585257769,26
139,4.186135292,31,246,2.986057758,23
140,3.588829279,15,247,2.204695702,20
144,4.246402264,29,255,2.605847597,24
145,2.579304457,11,259,3.988538504,35
146,14.84298229,58,260,2.25032115,18
147,2.507955551,19,261,4.226643085,29
148,3.124607563,26,263,2.531654835,23
151,2.626453638,11,272,1.672621131,14
155,7.172786236,41,275,2.774634361,20
157,7.203839302,38,277,2.961936474,27
158,34.68559265,70,279,4.142570019,35
160,9.585811615,59,281,2.957819223,22
161,8.806465149,56,283,3.696419239,25
163,15.1616497,64,284,3.369889736,36
164,3.037745953,24,286,4.21746397,42
165,3.962457657,32,289,2.689613342,23
167,62.19105148,103,291,3.444571733,24
169,4.954399109,32,296,3.601248026,28
171,4.63821888,34,297,2.918525934,24
172,24.51797867,68,298,2.574953318,22
173,11.63810349,54,299,3.453262329,25
175,8.195309639,43,307,2.74636364,20
176,3.577808619,29,309,3.391594172,28
177,4.720828533,32,313,4.721943378,48
178,13.66226673,61,317,3.601577044,28
179,19.97319412,71,319,6.362641335,65
181,13.10909271,59,320,4.700959682,36
182,12.20126629,44,323,2.942359447,21
183,8.49516201,30,338,3.434941053,23
184,6.568450451,43,339,2.569910765,23
185,4.216944218,28,344,4.283900261,32
186,33.69220352,156,346,5.30495882,40
187,12.93622398,83,347,2.113283157,17
190,9.767146111,42,351,3.133191109,21
191,7.896616459,58,353,2.940565586,24
192,4.164099216,39,355,4.117567539,24
193,5.041078091,41,359,3.149126291,21
196,6.157790661,38,363,3.998788118,19
199,41.99384689,139,364,2.471946955,25
200,14.23524952,56,365,4.999716282,38
201,20.83842468,66,366,3.12782526,27
203,16.05898857,61,367,3.359098911,25
204,19.22751617,55,368,3.689587593,33
205,47.29204941,109,378,2.589312315,19
206,21.97553635,99,379,3.447577238,32
208,3.368211985,26,387,4.640929699,54
210,46.37030411,96,391,3.074911594,22
212,175.2698517,130,393,3.462980747,28
214,56.40621948,152,395,3.095639229,23
216,387.6985779,125,398,4.292053223,30
217,237.6348267,146,403,2.250754595,18
219,150.316925,138,405,2.97108531,20
220,208.2340851,156,410,2.882309437,21
221,250.2750244,134,414,3.531445265,30
222,49.81901932,127,415,2.865213394,21
223,197.7699585,104,416,2.590755463,21
225,70.01215363,161,419,2.956711054,28
226,68.35506439,140,422,3.707799673,33
227,121.5310745,127,423,3.679973841,40
230,283.2523193,171,426,3.275933027,39
233,286.2845154,250,427,2.747361183,20
235,73.55516815,168,431,3.519227028,47
236,622.6033936,165,436,2.928655624,24
237,87.14884949,148,437,3.875975132,29
238,151.5047302,207,438,2.924614668,28
239,85.14408875,161,440,2.945121288,32
240,111.4780121,148,442,3.29692173,29
242,66.95175171,250,444,3.485859156,32
243,334.6399841,232,445,3.127834797,21
245,153.6221619,250,447,3.67539525,31
246,232.5596924,212,451,3.920380592,32
